name,screentime,episode
Renly Baratheon,0,Episode - 53
Renly Baratheon,0,Episode - 54
Renly Baratheon,0,Episode - 55
Renly Baratheon,0,Episode - 56
Renly Baratheon,0,Episode - 57
Renly Baratheon,0,Episode - 58
Renly Baratheon,0,Episode - 59
Renly Baratheon,0,Episode - 60
Renly Baratheon,0,Episode - 61
Renly Baratheon,0,Episode - 62
Renly Baratheon,0,Episode - 63
Renly Baratheon,0,Episode - 64
Renly Baratheon,0,Episode - 65
Renly Baratheon,0,Episode - 66
Renly Baratheon,0,Episode - 67
Renly Baratheon,0,Episode - 68
Renly Baratheon,0,Episode - 69
Renly Baratheon,0,Episode - 70
Renly Baratheon,0,Episode - 71
Renly Baratheon,0,Episode - 72
Renly Baratheon,0,Episode - 73
Stannis Baratheon,0,Episode - 1
Stannis Baratheon,0,Episode - 2
Stannis Baratheon,0,Episode - 3
Stannis Baratheon,0,Episode - 4
Stannis Baratheon,0,Episode - 5
Stannis Baratheon,0,Episode - 6
Stannis Baratheon,0,Episode - 7
Stannis Baratheon,0,Episode - 8
Stannis Baratheon,0,Episode - 9
Stannis Baratheon,0,Episode - 10
Stannis Baratheon,373,Episode - 11
Stannis Baratheon,234,Episode - 12
Stannis Baratheon,0,Episode - 13
Stannis Baratheon,306,Episode - 14
Stannis Baratheon,163,Episode - 15
Stannis Baratheon,0,Episode - 16
Stannis Baratheon,0,Episode - 17
Stannis Baratheon,176,Episode - 18
Stannis Baratheon,166,Episode - 19
Stannis Baratheon,214,Episode - 20
Stannis Baratheon,162,Episode - 21
Stannis Baratheon,0,Episode - 22
Stannis Baratheon,114,Episode - 23
Stannis Baratheon,0,Episode - 24
Stannis Baratheon,272,Episode - 25
Stannis Baratheon,0,Episode - 26
Stannis Baratheon,0,Episode - 27
Stannis Baratheon,391,Episode - 28
Stannis Baratheon,0,Episode - 29
Stannis Baratheon,322,Episode - 30
Stannis Baratheon,0,Episode - 31
Stannis Baratheon,179,Episode - 32
Stannis Baratheon,110,Episode - 33
Stannis Baratheon,0,Episode - 34
Stannis Baratheon,0,Episode - 35
Stannis Baratheon,355,Episode - 36
Stannis Baratheon,0,Episode - 37
Stannis Baratheon,0,Episode - 38
Stannis Baratheon,0,Episode - 39
Stannis Baratheon,234,Episode - 40
Stannis Baratheon,379,Episode - 41
Stannis Baratheon,141,Episode - 42
Stannis Baratheon,270,Episode - 43
Stannis Baratheon,279,Episode - 44
Stannis Baratheon,335,Episode - 45
Stannis Baratheon,0,Episode - 46
Stannis Baratheon,212,Episode - 47
Stannis Baratheon,0,Episode - 48
Stannis Baratheon,523,Episode - 49
Stannis Baratheon,435,Episode - 50
Stannis Baratheon,0,Episode - 51
Stannis Baratheon,0,Episode - 52
Stannis Baratheon,0,Episode - 53
Stannis Baratheon,0,Episode - 54
Stannis Baratheon,0,Episode - 55
Stannis Baratheon,0,Episode - 56
Stannis Baratheon,0,Episode - 57
Stannis Baratheon,0,Episode - 58
Stannis Baratheon,0,Episode - 59
Stannis Baratheon,0,Episode - 60
Stannis Baratheon,0,Episode - 61
Stannis Baratheon,0,Episode - 62
Stannis Baratheon,0,Episode - 63
Stannis Baratheon,0,Episode - 64
Stannis Baratheon,0,Episode - 65
Stannis Baratheon,0,Episode - 66
Stannis Baratheon,0,Episode - 67
Stannis Baratheon,0,Episode - 68
Stannis Baratheon,0,Episode - 69
Stannis Baratheon,0,Episode - 70
Stannis Baratheon,0,Episode - 71
Stannis Baratheon,0,Episode - 72
Stannis Baratheon,0,Episode - 73
Davos Seaworth,0,Episode - 1
Davos Seaworth,0,Episode - 2
Davos Seaworth,0,Episode - 3
Davos Seaworth,0,Episode - 4
Davos Seaworth,0,Episode - 5
Davos Seaworth,0,Episode - 6
Davos Seaworth,0,Episode - 7
Davos Seaworth,0,Episode - 8
Davos Seaworth,0,Episode - 9
Davos Seaworth,0,Episode - 10
Davos Seaworth,432,Episode - 11
Davos Seaworth,333,Episode - 12
Davos Seaworth,0,Episode - 13
Davos Seaworth,530,Episode - 14
Davos Seaworth,163,Episode - 15
Davos Seaworth,0,Episode - 16
Davos Seaworth,0,Episode - 17
Davos Seaworth,176,Episode - 18
Davos Seaworth,245,Episode - 19
Davos Seaworth,0,Episode - 20
Davos Seaworth,462,Episode - 21
Davos Seaworth,0,Episode - 22
Davos Seaworth,0,Episode - 23
Davos Seaworth,0,Episode - 24
Davos Seaworth,92,Episode - 25
Davos Seaworth,0,Episode - 26
Davos Seaworth,0,Episode - 27
Davos Seaworth,354,Episode - 28
Davos Seaworth,0,Episode - 29
Davos Seaworth,728,Episode - 30
Davos Seaworth,0,Episode - 31
Davos Seaworth,92,Episode - 32
Davos Seaworth,237,Episode - 33
Davos Seaworth,0,Episode - 34
Davos Seaworth,0,Episode - 35
Davos Seaworth,474,Episode - 36
Davos Seaworth,0,Episode - 37
Davos Seaworth,0,Episode - 38
Davos Seaworth,0,Episode - 39
Davos Seaworth,218,Episode - 40
Davos Seaworth,344,Episode - 41
Davos Seaworth,141,Episode - 42
Davos Seaworth,260,Episode - 43
Davos Seaworth,0,Episode - 44
Davos Seaworth,212,Episode - 45
Davos Seaworth,0,Episode - 46
Davos Seaworth,126,Episode - 47
Davos Seaworth,0,Episode - 48
Davos Seaworth,300,Episode - 49
Davos Seaworth,69,Episode - 50
Davos Seaworth,413,Episode - 51
Davos Seaworth,629,Episode - 52
Davos Seaworth,525,Episode - 53
Davos Seaworth,99,Episode - 54
Davos Seaworth,151,Episode - 55
Davos Seaworth,0,Episode - 56
Davos Seaworth,745,Episode - 57
Davos Seaworth,0,Episode - 58
Davos Seaworth,1042,Episode - 59
Davos Seaworth,497,Episode - 60
Davos Seaworth,300,Episode - 61
Davos Seaworth,330,Episode - 62
Davos Seaworth,848,Episode - 63
Davos Seaworth,450,Episode - 64
Davos Seaworth,990,Episode - 65
Davos Seaworth,53,Episode - 66
Davos Seaworth,1446,Episode - 67
Davos Seaworth,305,Episode - 68
Davos Seaworth,1006,Episode - 69
Davos Seaworth,250,Episode - 70
Davos Seaworth,699,Episode - 71
Davos Seaworth,246,Episode - 72
Davos Seaworth,1173,Episode - 73
Theon Greyjoy,1196,Episode - 1
Theon Greyjoy,109,Episode - 2
Theon Greyjoy,0,Episode - 3
Theon Greyjoy,244,Episode - 4
Theon Greyjoy,259,Episode - 5
Theon Greyjoy,366,Episode - 6
Theon Greyjoy,222,Episode - 7
Theon Greyjoy,406,Episode - 8
Theon Greyjoy,332,Episode - 9
Theon Greyjoy,136,Episode - 10
Theon Greyjoy,160,Episode - 11
Theon Greyjoy,575,Episode - 12
Theon Greyjoy,375,Episode - 13
Theon Greyjoy,0,Episode - 14
Theon Greyjoy,224,Episode - 15
Theon Greyjoy,591,Episode - 16
Theon Greyjoy,300,Episode - 17
Theon Greyjoy,274,Episode - 18
Theon Greyjoy,0,Episode - 19
Theon Greyjoy,409,Episode - 20
Theon Greyjoy,0,Episode - 21
Theon Greyjoy,165,Episode - 22
Theon Greyjoy,306,Episode - 23
Theon Greyjoy,261,Episode - 24
Theon Greyjoy,0,Episode - 25
Theon Greyjoy,332,Episode - 26
Theon Greyjoy,323,Episode - 27
Theon Greyjoy,0,Episode - 28
Theon Greyjoy,0,Episode - 29
Theon Greyjoy,218,Episode - 30
Theon Greyjoy,0,Episode - 31
Theon Greyjoy,436,Episode - 32
Theon Greyjoy,0,Episode - 33
Theon Greyjoy,0,Episode - 34
Theon Greyjoy,0,Episode - 35
Theon Greyjoy,383,Episode - 36
Theon Greyjoy,0,Episode - 37
Theon Greyjoy,371,Episode - 38
Theon Greyjoy,0,Episode - 39
Theon Greyjoy,0,Episode - 40
Theon Greyjoy,0,Episode - 41
