link,name,screentime,episode
1,Joffrey Baratheon,173,Episode - 6
1,Joffrey Baratheon,504,Episode - 7
1,Joffrey Baratheon,369,Episode - 8
1,Joffrey Baratheon,330,Episode - 9
1,Joffrey Baratheon,451,Episode - 10
1,Joffrey Baratheon,406,Episode - 11
1,Joffrey Baratheon,0,Episode - 12
1,Joffrey Baratheon,0,Episode - 13
1,Joffrey Baratheon,392,Episode - 14
1,Joffrey Baratheon,0,Episode - 15
1,Joffrey Baratheon,226,Episode - 16
1,Joffrey Baratheon,0,Episode - 17
1,Joffrey Baratheon,64,Episode - 18
1,Joffrey Baratheon,380,Episode - 19
1,Joffrey Baratheon,273,Episode - 20
1,Joffrey Baratheon,217,Episode - 21
1,Joffrey Baratheon,417,Episode - 22
1,Joffrey Baratheon,0,Episode - 23
1,Joffrey Baratheon,200,Episode - 24
1,Joffrey Baratheon,0,Episode - 25
1,Joffrey Baratheon,19,Episode - 26
1,Joffrey Baratheon,208,Episode - 27
1,Joffrey Baratheon,424,Episode - 28
1,Joffrey Baratheon,0,Episode - 29
1,Joffrey Baratheon,200,Episode - 30
1,Joffrey Baratheon,115,Episode - 31
1,Joffrey Baratheon,1166,Episode - 32
1,Joffrey Baratheon,479,Episode - 33
1,Joffrey Baratheon,0,Episode - 34
1,Joffrey Baratheon,0,Episode - 35
1,Joffrey Baratheon,0,Episode - 36
1,Joffrey Baratheon,0,Episode - 37
1,Joffrey Baratheon,0,Episode - 38
1,Joffrey Baratheon,0,Episode - 39
